What does Application Insights collect?	Application Insights collects Metrics and application Telemetry data, including request rates, response times, failure rates, dependency rates, exceptions, page views, AJAX calls, user and session counts, performance counters, host diagnostics, diagnostic trace logs, and custom events and metrics.
What can you find out using request rates, response times, and failure rates in Application Insights?	You can find out which pages are most popular, at what times of day, and where your users are. You can also see which pages perform best and identify any resourcing problems if response times and failure rates increase with more requests.
How can dependency rates, response times, and failure rates be helpful in Application Insights?	Dependency rates, response times, and failure rates can help you determine whether external services are slowing down your application.
What can you analyze using exceptions in Application Insights?	You can analyze aggregated statistics of exceptions or drill into specific instances, view the stack trace and related requests. Both server and browser exceptions are reported.
What does Page views and load performance in Application Insights measure?	Page views and load performance are reported by your users' browsers, allowing you to analyze how your pages are performing.
What does Application Insights capture regarding AJAX calls from web pages?	Application Insights captures rates, response times, and failure rates of AJAX calls from web pages, providing insights into the performance of these calls.
What information can you obtain about users and sessions in Application Insights?	Application Insights provides user and session counts, allowing you to track the number of users and sessions using your application.
What type of performance counters can you monitor using Application Insights?	Application Insights allows you to monitor performance counters from your Windows or Linux server machines, such as CPU, memory, and network usage.
How can you utilize Application Insights for host diagnostics?	Application Insights can collect host diagnostics from Docker or Azure, providing valuable insights into the health and performance of your hosting environment.
What type of logs can you correlate with requests using Application Insights?	Application Insights can collect diagnostic trace logs from your app, allowing you to correlate trace events with requests.
How can you track custom events and metrics in Application Insights?	You can write custom events and metrics in your client or server code to track business events such as items sold or games won.
Where is Application Insights hosted, and what is the pricing?	Application Insights is hosted within Microsoft Azure. It's free to sign up, and if you choose the basic pricing plan, there's no charge until your application has substantial usage.
What are the different ways to get started with monitoring and analyzing app performance using Application Insights?	You can instrument your web app on the server at run time, add Application Insights to your code at development time, instrument your web pages for client-side telemetry, integrate with Visual Studio App Center for mobile app usage analysis, and perform availability tests by pinging your website regularly from Application Insights servers.
